SMP Group of PGs,4,0,1,1,4.4,1,4500
Royal New Luxury PG for Ladies,2,1,1,0,4,1,6000
OM Sai Lakshmi PG,2,1,1,0,5,0,5000
The Beehive Hostel Luxury mens PG,3,1,1,0,4.4,1,6000
ELITE GIRLS PG / HOSTEL,2,0,1,1,4.9,1,5700
home town paying guest,2,1,1,1,4.2,1,6500
Rentorio Hostel,1,0,1,1,5,1,8000
Covie Bannerghatta 185 Paying Guest/Hostels,1,1,1,1,5,1,12000
SA PG,2,0,1,0,5,1,6500
Hive Hostels,3,0,1,0,4.8,0,5000
Abuzz Oxfordcaps,4,0,0,0,4.1,0,3500
Sudarshan Luxury Living - Hulimavu,2,1,0,1,3.7,1,8000
Shivrang PG For Gents,3,0,1,1,4.2,0,5000
New Sri Vaishnavi Gents Pg,3,0,1,1,3.7,0,5000
zolo icarus,2,1,1,0,4,1,10000
"Amma Ladies PG, Water tank road",2,1,1,0,4,1,10000
Shree Nideshwara Ladies Pg,3,0,1,1,4.5,0,5000
Sri Balaji Luxurious Ladies Pg,3,0,1,1,4.9,0,5000
SS LUXURY FOR GENTS AND LADIES PG,3,0,1,0,3.9,0,4000
Ss Comforts Gents Pg,3,1,1,0,4.9,1,6000
Fourth Pg Accommodation,2,1,1,1,3.9,1,7000
My Home Pg For Men,3,0,0,0,3.8,1,5000
ATITHI BOYS PG,3,0,0,0,4.1,1,5000
ELITE GIRLS PG / HOSTEL,4,0,1,0,4.9,0,4700
Lohitha Girl's PG,3,1,1,0,4.6,1,6000
Anagha Girls PG,2,1,1,0,4.9,1,7000
Ganapa's Boys PG,3,0,0,0,4.6,1,5000
